slot,time_header,price_yuan_per_kwh,load_kw,pv_forecast_kw,plan_grid_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh
1,00:10:00,0.4248,3439.8466,0.0,1406.6410999999998,833.3333333333333,0.0,6000.0,6750.0
2,00:20:00,0.4245,3437.9792,0.0,1406.3298666666665,833.3333333333333,0.0,6750.0,7500.0
3,00:30:00,0.4269,3444.3031,0.0,1407.38385,833.3333333333333,0.0,7500.0,8250.0
4,00:40:00,0.4272,3454.4437,0.0,1409.07395,833.3333333333333,0.0,8250.0,9000.0
5,00:50:00,0.4271,3458.8273,0.0,1409.8045499999998,833.3333333333333,0.0,9000.0,9750.0
6,01:00:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,0.0,9750.0,9750.0
7,01:10:00,0.4311,3467.1582,0.0,577.8597,0.0,0.0,9750.0,9750.0
8,01:20:00,0.4302,3467.9632,0.0,577.9938666666667,0.0,0.0,9750.0,9750.0
9,01:30:00,0.4279,3466.9683,0.0,911.1613833333333,333.3333333333333,0.0,9750.0,10050.0
10,01:40:00,0.4312,3482.4927,0.0,580.41545,0.0,0.0,10050.0,10050.0
11,01:50:00,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,10050.0,10050.0
12,02:00:00,0.4311,3498.4443,0.0,583.0740499999999,0.0,0.0,10050.0,10050.0
13,02:10:00,0.4293,3505.2295,0.0,584.2049166666666,0.0,0.0,10050.0,10050.0
14,02:20:00,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,10050.0,10050.0
15,02:30:00,0.4367,3516.8685,0.0,586.1447499999999,0.0,0.0,10050.0,10050.0
16,02:40:00,0.4348,3517.9246,0.0,586.3207666666666,0.0,0.0,10050.0,10050.0
17,02:50:00,0.4335,3518.5518,0.0,586.4253,0.0,0.0,10050.0,10050.0
18,03:00:00,0.4357,3521.0976,0.0,586.8496,0.0,0.0,10050.0,10050.0
19,03:10:00,0.4374,3526.9261,0.0,587.8210166666667,0.0,0.0,10050.0,10050.0
20,03:20:00,0.4371,3537.2854,0.0,589.5475666666666,0.0,0.0,10050.0,10050.0
21,03:30:00,0.4356,3544.8808,0.0,590.8134666666666,0.0,0.0,10050.0,10050.0
22,03:40:00,0.4353,3541.2787,0.0,590.2131166666666,0.0,0.0,10050.0,10050.0
23,03:50:00,0.436,3546.3976,0.0,591.0662666666666,0.0,0.0,10050.0,10050.0
24,04:00:00,0.4378,3560.207,0.0,593.3678333333332,0.0,0.0,10050.0,10050.0
