date,method,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,m1,21995.815274862904,4283.050218958333,26278.865493821235,1019.1533666666664,1200.0000000000082,1200.0000000000155
2025-02-02,m1,19828.134662289616,183737.33233469166,203565.46699698127,43978.102016666664,1200.0000000000155,1199.999999999992
2025-02-03,m1,51699.26832828156,12424.49964131667,64123.76796959824,3331.582733333334,1199.999999999992,1200.0000000000014
2025-02-04,m1,52988.78627099335,12192.013190016663,65180.799461010014,2936.3882833333328,1200.0000000000014,1200.0000000000002
2025-02-05,m1,53937.73908477296,6829.713891833333,60767.45297660629,1970.2572666666667,1200.0000000000002,1200.000000000001
2025-02-06,m1,53301.77674413056,7490.961005858333,60792.7377499889,1897.8490333333332,1200.000000000001,1200.0000000000118
2025-02-07,m1,52996.19319153666,0.0,52996.19319153666,0.0,1200.0000000000118,1200.0000000000045
2025-02-08,m1,19351.521988815926,10895.330944691666,30246.852933507595,2855.629533333333,1200.0000000000045,1200.0000000000032
2025-02-09,m1,18783.49036003708,194160.94859069167,212944.43895072874,46989.37088333333,1200.0000000000032,1200.0000000000055
2025-02-10,m1,52397.16524736777,3869.6690264249964,56266.83427379277,1123.8543833333324,1200.0000000000055,1199.9999999999982
2025-02-11,m1,48655.74466727246,10158.305253883338,58814.0499211558,2498.9159166666673,1199.9999999999982,1200.0000000000095
2025-02-12,m1,49476.05670551663,7351.65490218333,56827.71160769996,1830.8304999999996,1200.0000000000095,1200.0000000000039
2025-02-13,m1,49655.199050484836,3052.527881158331,52707.72693164317,981.1041999999995,1200.0000000000039,1200.0000000000043
2025-02-14,m1,46534.217525079504,31.489176666666708,46565.706701746174,14.728333333333353,1200.0000000000043,1200.000000000004
2025-02-15,m1,18419.350554745426,6128.612535441664,24547.96309018709,1726.9609666666659,1200.000000000004,1199.9999999999984
2025-02-16,m1,18455.098288963334,183380.06466738333,201835.16295634667,43520.66396666666,1199.9999999999984,1200.0000000000023
2025-02-17,m1,49331.03959292083,3660.604847424999,52991.64444034583,1076.0385333333334,1200.0000000000023,1200.000000000004
2025-02-18,m1,46240.73986686932,10677.841720416669,56918.58158728599,2584.105716666667,1200.000000000004,1200.000000000002
2025-02-19,m1,46947.8693440239,11763.699065908331,58711.56840993223,2913.592349999999,1200.000000000002,1200.0000000000055
2025-02-20,m1,47823.01473692809,7320.855388833335,55143.87012576142,2179.6478333333334,1200.0000000000055,1200.0000000000005
2025-02-21,m1,46215.68367963549,42.71724000000004,46258.40091963549,19.980000000000018,1200.0000000000005,1200.000000000011
2025-02-22,m1,17519.120478349996,11565.6608371,29084.781315449996,2923.1012,1200.000000000011,1200.0000000000027
2025-02-23,m1,17731.50286511833,172460.52586060835,190192.02872572668,41028.7027,1200.0000000000027,1200.0000000000014
2025-02-24,m1,46422.381929852905,5949.834520583332,52372.21645043624,1423.8128166666665,1200.0000000000014,1200.0000000000073
2025-02-25,m1,44335.784556354956,4864.225922233336,49200.010478588294,1264.8552833333338,1200.0000000000073,1200.000000000001
2025-02-26,m1,42819.97102896549,14622.944832983332,57442.91586194882,4077.766633333333,1200.000000000001,1199.9999999999986
2025-02-27,m1,44569.222067361254,10144.147706008327,54713.36977336958,2172.066049999999,1199.9999999999986,1200.0000000000016
2025-02-28,m1,44034.24143037005,83.54591333333342,44117.787343703385,39.07666666666671,1200.0000000000016,1199.9999999999968
2025-03-01,m1,16967.940192109218,10383.06687988333,27351.00707199255,2415.6056666666664,1199.9999999999968,1199.9999999999977
2025-03-02,m1,16512.29263017134,183003.9186021965,199516.21123236784,43771.72409485596,1199.9999999999977,1200.000000000005
2025-03-03,m1,47194.69250662827,13173.400712233328,60368.0932188616,3204.841566666666,1200.000000000005,1200.0000000000064
2025-03-04,m1,47149.596166960226,3822.519762541671,50972.115929501895,1188.2663166666675,1200.0000000000064,1199.9999999999982
2025-03-05,m1,44760.030016624005,5835.115315666668,50595.145332290675,1385.613483333333,1199.9999999999982,1199.9999999999993
2025-03-06,m1,42773.46428099031,9140.429607691669,51913.89388868198,2384.2601833333338,1199.9999999999993,1200.0000000000032
2025-03-07,m1,42638.62490307051,0.0,42638.62490307051,0.0,1200.0000000000032,1199.9999999999984
2025-03-08,m1,15754.922359874858,4828.524530033332,20583.44688990819,1502.8790166666663,1199.9999999999984,1200.0000000000016
2025-03-09,m1,15838.890681954155,159567.93071751666,175406.82139947082,37576.236999999994,1200.0000000000016,1200.000000000006
2025-03-10,m1,40994.22871451321,19577.010631499998,60571.2393460132,5884.741483333333,1200.000000000006,1200.0000000000005
2025-03-11,m1,43615.826834818785,5820.280491291664,49436.10732611045,1434.4198666666662,1200.0000000000005,1200.0000000000027
2025-03-12,m1,41183.60652322918,4735.130085750008,45918.73660897919,1346.9640666666683,1200.0000000000027,1199.9999999999925
2025-03-13,m1,40329.59876420358,25210.41200279167,65540.01076699526,6763.094116666668,1199.9999999999925,1200.0000000000039
2025-03-14,m1,43445.25312209892,0.0,43445.25312209892,0.0,1200.0000000000039,1199.9999999999936
2025-03-15,m1,15254.428506764507,14569.947603058332,29824.37610982284,4094.0315166666664,1199.9999999999936,1199.999999999999
2025-03-16,m1,15666.221009477158,156537.3942729833,172203.61528246047,37083.1507,1199.999999999999,1200.0000000000005
2025-03-17,m1,40634.98112533683,3372.647345675,44007.628471011834,786.9972833333331,1200.0000000000005,1200.0000000000048
2025-03-18,m1,37331.51628342598,20439.276186349998,57770.79246977598,4821.391783333333,1200.0000000000048,1200.0000000000032
2025-03-19,m1,39359.937093710796,3916.3628386666674,43276.299932377464,1096.0832000000005,1200.0000000000032,1200.0
2025-03-20,m1,38367.966420285484,14953.663768858332,53321.63018914382,4120.770433333333,1200.0,1199.9999999999977
2025-03-21,m1,40020.38205037753,17.67057000000009,40038.05262037753,8.265000000000043,1199.9999999999977,1200.0000000000002
2025-03-22,m1,14801.711276250988,11654.44586605833,26456.15714230932,3188.257083333333,1200.0000000000002,1199.9999999999986
2025-03-23,m1,14647.324272345395,149033.51138529167,163680.83565763707,35497.42546666667,1199.9999999999986,1200.0000000000007
2025-03-24,m1,37678.04641420673,12001.112538225,49679.158952431724,2827.5003166666665,1200.0000000000007,1200.0000000000084
2025-03-25,m1,37397.92408160555,18336.206505241673,55734.13058684723,4751.4824333333345,1200.0000000000084,1200.000000000002
2025-03-26,m1,39103.54130894586,5573.353797150002,44676.895106095864,1426.5785833333337,1200.000000000002,1200.0000000000034
2025-03-27,m1,35901.15772278333,18812.450484466666,54713.60820725,4722.778366666666,1200.0000000000034,1200.0000000000139
2025-03-28,m1,37654.833181643684,56.91356000000013,37711.746741643685,26.62000000000006,1200.0000000000139,1199.999999999995
2025-03-29,m1,14252.811018295948,5127.741621200001,19380.55263949595,1383.8143166666669,1199.999999999995,1200.0000000000007
2025-03-30,m1,14442.439767656586,133217.42554489165,147659.86531254824,32809.97356666667,1200.0000000000007,1200.0000000000023
2025-03-31,m1,35528.5706470795,15770.033399191667,51298.60404627117,4193.838766666668,1200.0000000000023,1200.0
2025-04-01,m1,36454.03805827696,16255.725602875002,52709.763661151956,4881.376249999999,1200.0,1199.9999999999986
2025-04-02,m1,38044.889848330364,17541.747031974995,55586.63688030536,3683.794883333333,1199.9999999999986,1199.9999999999957
2025-04-03,m1,38300.21552405167,9401.377236375,47701.592760426676,2252.2276500000007,1199.9999999999957,1200.000000000004
2025-04-04,m1,36003.71485271148,90.97902666666656,36094.693879378145,42.553333333333285,1200.000000000004,1200.0000000000027
2025-04-05,m1,13527.326216710037,13143.136405724996,26670.462622435032,3184.029299999999,1200.0000000000027,1199.999999999997
2025-04-06,m1,13852.382726576605,142243.8119975833,156096.19472415993,33718.16473333333,1199.999999999997,1199.9999999999995
2025-04-07,m1,34935.645039466355,8281.190829999996,43216.83586946635,2394.357266666666,1199.9999999999995,1199.9999999999918
2025-04-08,m1,34042.56891584312,20999.00831581666,55041.57723165978,4544.799133333332,1199.9999999999918,1199.9999999999932
2025-04-09,m1,35220.70617448593,23021.892709725005,58242.59888421094,6634.105000000001,1199.9999999999932,1200.0000000000045
2025-04-10,m1,37322.324233189254,7183.57665698333,44505.90089017258,1719.8711666666663,1200.0000000000045,1199.999999999996
2025-04-11,m1,35185.998610563765,59.86756333333345,35245.8661738971,28.001666666666722,1199.999999999996,1199.9999999999995
2025-04-12,m1,13307.09588275228,9876.15515153333,23183.25103428561,2768.435433333333,1199.9999999999995,1199.999999999998
2025-04-13,m1,13034.269197098518,147461.75674036666,160496.0259374652,34493.88538333333,1199.999999999998,1199.9999999999973
2025-04-14,m1,34708.40674237056,6751.975434791669,41460.382177162224,1894.5276833333337,1199.9999999999973,1200.0000000000064
2025-04-15,m1,33400.85480635927,11204.99022081667,44605.845027175936,2664.9437000000003,1200.0000000000064,1200.0000000000077
2025-04-16,m1,32659.942763204883,24973.929525233325,57633.87228843821,6848.1608333333315,1200.0000000000077,1200.0000000000116
2025-04-17,m1,35186.54679877858,6956.217959541665,42142.76475832025,1529.6828333333328,1200.0000000000116,1200.0000000000068
2025-04-18,m1,33993.84617333718,22.78039000000006,34016.62656333718,10.65500000000003,1200.0000000000068,1200.000000000004
2025-04-19,m1,12477.350128042652,6562.591389049999,19039.94151709265,1694.2994833333332,1200.000000000004,1200.0000000000007
2025-04-20,m1,12402.433498660497,139122.66345600833,151525.09695466884,33439.172933333335,1200.0000000000007,1200.0000000000045
2025-04-21,m1,33104.60331453777,7493.467036966666,40598.07035150444,1955.202283333333,1200.0000000000045,1200.000000000001
2025-04-22,m1,31360.757781685003,20713.883107333328,52074.64088901833,5627.704949999998,1200.000000000001,1200.0000000000027
2025-04-23,m1,33077.52766784142,6433.7475736,39511.27524144142,1830.2776999999996,1200.0000000000027,1199.999999999995
2025-04-24,m1,32514.507678417547,6855.340156508328,39369.84783492587,1473.8210499999986,1199.999999999995,1199.9999999999982
2025-04-25,m1,30855.479277004997,0.0,30855.479277004997,0.0,1199.9999999999982,1199.999999999999
2025-04-26,m1,11974.680991360601,6585.723215441666,18560.404206802268,1730.2099666666666,1199.999999999999,1200.0000000000023
2025-04-27,m1,12346.223099847592,128421.84788534166,140768.07098518926,31465.796883333333,1200.0000000000023,1200.0000000000011
2025-04-28,m1,31855.970227296853,33093.21571586667,64949.185943163524,9247.407916666667,1200.0000000000011,1200.0000000000014
2025-04-29,m1,35361.8001337703,4196.975677083336,39558.775810853636,1005.9298500000007,1200.0000000000014,1200.0000000000007
2025-04-30,m1,31199.57749878445,14595.876984599998,45795.45448338445,4143.386383333333,1200.0000000000007,1200.0000000000039
2025-05-01,m1,30803.402424574622,31818.137836175003,62621.54026074962,6862.000599999999,1200.0000000000039,1200.0000000000005
2025-05-02,m1,34476.77062186296,34.99193333333335,34511.76255519629,16.366666666666674,1200.0000000000005,1200.000000000006
2025-05-03,m1,15139.775155787529,5033.959496075,20173.734651862527,1214.8135666666667,1200.000000000006,1200.0000000000016
2025-05-04,m1,14528.862489517214,129813.26571264166,144342.12820215887,31610.507449999997,1200.0000000000016,1199.9999999999939
2025-05-05,m1,33948.49709628167,26714.897202999993,60663.39429928167,5912.210533333331,1199.9999999999939,1200.0000000000007
2025-05-06,m1,35710.0885217924,7643.434057475002,43353.5225792674,2051.1644833333344,1200.0000000000007,1200.0000000000023
2025-05-07,m1,34609.42026078,17840.494326216663,52449.91458699667,4357.600233333333,1200.0000000000023,1200.000000000006
2025-05-08,m1,36145.03482263404,12823.716173158333,48968.750995792376,3700.2758666666664,1200.000000000006,1199.9999999999973
2025-05-09,m1,36009.08577652192,0.0,36009.08577652192,0.0,1199.9999999999973,1199.9999999999982
2025-05-10,m1,14240.310160996853,11008.564700316665,25248.874861313518,2935.606133333333,1199.9999999999982,1199.9999999999995
2025-05-11,m1,14223.867447062596,141092.97740709168,155316.84485415427,33692.3111,1199.9999999999995,1200.0000000000007
2025-05-12,m1,35827.510071615856,10064.689303158331,45892.19937477419,2946.0985,1200.0000000000007,1199.9999999999945
2025-05-13,m1,33906.15154450111,19732.94136691666,53639.09291141777,4200.358566666666,1199.9999999999945,1199.9999999999982
2025-05-14,m1,34360.58693439424,9774.204134666668,44134.791069060906,2676.8298000000004,1199.9999999999982,1200.000000000004
