date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,mean_reserve_kw,soc_start_kwh,soc_end_kwh
2025-02-01,m1,23830.85286065196,23830.85286065196,2257.907002468369,26088.75986312033,763.259201988555,0.0,1200.0000000000082,1200.000000000001
2025-02-02,m1,55136.339164578036,55136.339164578036,4475.408588147436,59611.747752725474,829.4201216224249,0.0,1200.000000000001,1200.000000000001
2025-02-03,m1,52659.305411228415,52659.305411228415,7755.89366219936,60415.19907342778,1695.5023760132071,0.0,1200.000000000001,1200.0000000000014
2025-02-04,m1,52427.84535308702,52427.84535308702,13697.156658535978,66125.002011623,2979.255058336392,0.0,1200.0000000000014,1199.9999999999977
2025-02-05,m1,52432.64647623292,52432.64647623292,11400.34173596213,63832.98821219505,2538.665925851069,0.0,1199.9999999999977,1200.0000000000057
2025-02-06,m1,52430.58691911067,52430.58691911067,10849.51872939943,63280.1056485101,2263.1059671803723,0.0,1200.0000000000057,1200.000000000005
2025-02-07,m1,24883.495275244837,24883.495275244837,2879.080427299929,27762.575702544767,974.9548676124172,0.0,1200.000000000005,1199.9999999999923
2025-02-08,m1,21167.396591688797,21167.396591688797,4717.11852727538,25884.515118964177,1500.37881614237,0.0,1199.9999999999923,1200.0000000000014
2025-02-09,m1,50899.92349503124,50899.92349503124,11269.307100802487,62169.230595833724,2538.4413320103786,0.0,1200.0000000000014,1199.9999999999986
2025-02-10,m1,50784.41163790908,50784.41163790908,7897.275264753379,58681.686902662455,1790.5172527630657,0.0,1199.9999999999986,1200.0000000000034
2025-02-11,m1,49822.068660739045,49822.068660739045,9691.606843677648,59513.67550441669,1942.0128802428603,0.0,1200.0000000000034,1200.0
2025-02-12,m1,49852.415160435354,49852.415160435354,10760.798253397348,60613.2134138327,2338.8012263359183,0.0,1200.0,1200.0000000000025
2025-02-13,m1,48816.966168461724,48816.966168461724,7698.503783232155,56515.46995169388,1740.0517883713692,0.0,1200.0000000000025,1200.0000000000077
2025-02-14,m1,21489.564858472826,21489.564858472826,4278.581530879699,25768.146389352525,1488.5503644804066,0.0,1200.0000000000077,1200.000000000006
2025-02-15,m1,19435.249347421635,19435.249347421635,6056.722514502757,25491.971861924394,1911.1541887824046,0.0,1200.000000000006,1200.0000000000077
2025-02-16,m1,48005.81687252762,48005.81687252762,12804.389398271962,60810.20627079958,2810.1132560087303,0.0,1200.0000000000077,1200.0000000000007
2025-02-17,m1,46742.24862446853,46742.24862446853,8713.37232832803,55455.620952796555,1979.5097505734138,0.0,1200.0000000000007,1200.0000000000055
2025-02-18,m1,45919.58585591243,45919.58585591243,11380.741478741445,57300.32733465388,2459.45232016075,0.0,1200.0000000000055,1200.0000000000114
2025-02-19,m1,45491.91923574668,45491.91923574668,18148.65372046493,63640.57295621161,4035.3126827964943,0.0,1200.0000000000114,1200.0
2025-02-20,m1,45824.89277155746,45824.89277155746,11585.339880647905,57410.23265220536,2505.4289692561442,0.0,1200.0,1200.0000000000027
2025-02-21,m1,20749.369989179908,20749.369989179908,3583.582397492949,24332.952386672856,1382.5778314696427,0.0,1200.0000000000027,1199.9999999999968
2025-02-22,m1,18541.880327290703,18541.880327290703,6409.306266717493,24951.186594008195,1886.9741047848288,0.0,1199.9999999999968,1200.0000000000132
2025-02-23,m1,45628.70182641788,45628.70182641788,11583.940287657408,57212.64211407529,2560.0678477744273,0.0,1200.0000000000132,1200.0000000000073
2025-02-24,m1,44394.1190905794,44394.1190905794,10690.864293825442,55084.98338440484,2329.5273566055494,0.0,1200.0000000000073,1200.0000000000102
2025-02-25,m1,44238.22063139609,44238.22063139609,8810.112594788072,53048.333226184164,2050.368944696833,0.0,1200.0000000000102,1200.000000000005
2025-02-26,m1,42861.98722030055,42861.98722030055,14814.66850843804,57676.655728738595,3463.6466238547,0.0,1200.000000000005,1199.999999999997
2025-02-27,m1,42833.28538801096,42833.28538801096,15355.207591405748,58188.49297941671,3069.9536121111432,0.0,1199.999999999997,1199.9999999999977
2025-02-28,m1,20025.507400574985,20025.507400574985,2154.694298746833,22180.201699321817,903.8292696625551,0.0,1199.9999999999977,1199.999999999987
2025-03-01,m1,17910.955156082942,17910.955156082942,5478.907752333975,23389.862908416915,1383.2516954792088,0.0,1199.999999999987,1199.9999999999977
2025-03-02,m1,42399.59154137212,42399.59154137212,29498.09995894162,71897.69150031374,7025.28477709771,0.0,1199.9999999999977,1199.999999999997
2025-03-03,m1,41794.060408396515,41794.060408396515,31271.061251526608,73065.12165992313,7237.807509714894,0.0,1199.999999999997,1199.9999999999943
2025-03-04,m1,43120.95835369876,43120.95835369876,13204.662856777451,56325.621210476216,3283.4166356250935,0.0,1199.9999999999943,1199.9999999999952
