family,date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
Q4-2,2025-02-01,m1,31587.228524970044,31587.228524970044,1677.8651802747897,33265.093705244835,644.6479509667798,6000.0,6000.0
Q4-2,2025-02-02,m1,71470.47721122717,71470.47721122717,4773.721582032873,76244.19879326005,829.420121622425,6000.0,6000.0
Q4-2,2025-02-03,m1,69123.7029967489,69123.7029967489,8697.489355946476,77821.19235269539,1695.5023760132071,6000.0,6000.0
Q4-2,2025-02-04,m1,69008.37892570868,69008.37892570868,15798.377277786625,84806.7562034953,2979.255058336392,6000.0,6000.0
Q4-2,2025-02-05,m1,68976.86344682587,68976.86344682587,12925.28848936191,81902.15193618777,2538.66592585107,6000.0,6000.0
Q4-2,2025-02-06,m1,68817.70697650051,68817.70697650051,12236.502166987317,81054.20914348782,2263.1059671803723,6000.0,6000.0
Q4-2,2025-02-07,m1,32584.586336106677,32584.586336106677,1850.0899224648217,34434.6762585715,819.2442520735514,6000.0,6000.0
Q4-2,2025-02-08,m1,29276.198158614145,29276.198158614145,2484.008656429054,31760.2068150432,1102.4254395615733,6000.0,6000.0
Q4-2,2025-02-09,m1,66304.32867395155,66304.32867395155,12608.743670276202,78913.07234422775,2538.4413320103777,6000.0,6000.0
Q4-2,2025-02-10,m1,65367.89815213249,65367.89815213249,8389.006630827043,73756.90478295954,1790.5172527630655,6000.0,6000.0
Q4-2,2025-02-11,m1,64865.21243635936,64865.21243635936,10470.77657770616,75335.98901406552,1942.0128802428603,6000.0,6000.0
Q4-2,2025-02-12,m1,64724.51738925304,64724.51738925304,11612.074827626375,76336.5922168794,2338.8012263359183,6000.0,6000.0
Q4-2,2025-02-13,m1,63340.90577685274,63340.90577685274,8183.569701830027,71524.47547868277,1740.0517883713692,6000.0,6000.0
Q4-2,2025-02-14,m1,30119.27746419934,30119.27746419934,2517.53622151373,32636.813685713067,1135.7634700701926,6000.0,6000.0
Q4-2,2025-02-15,m1,27960.926426000653,27960.926426000653,3430.0375910137363,31390.96401701439,1389.8782914082503,6000.0,6000.0
Q4-2,2025-02-16,m1,62587.35675324667,62587.35675324667,14105.917257991765,76693.27401123843,2810.113256008731,6000.0,6000.0
Q4-2,2025-02-17,m1,60850.373492671075,60850.373492671075,9242.369949648571,70092.74344231965,1979.5097505734138,6000.0,6000.0
Q4-2,2025-02-18,m1,59727.348026165026,59727.348026165026,11609.764208181774,71337.1122343468,2273.36739602246,6000.0,6000.0
Q4-2,2025-02-19,m1,59554.71303629757,59554.71303629757,19656.263355593997,79210.97639189157,3979.527993712491,6000.0,6000.0
Q4-2,2025-02-20,m1,60441.55236152499,60441.55236152499,12247.504929221763,72689.05729074676,2328.2660952875726,6000.0,6000.0
Q4-2,2025-02-21,m1,28995.587061049766,28995.587061049766,2189.714295881782,31185.301356931548,1156.8904269035334,6000.0,6000.0
Q4-2,2025-02-22,m1,27113.461472434337,27113.461472434337,2909.1895107363043,30022.650983170643,1189.6582909134909,6000.0,6000.0
Q4-2,2025-02-23,m1,59303.472955836594,59303.472955836594,12177.964324168017,71481.43728000461,2489.096481320972,6000.0,6000.0
Q4-2,2025-02-24,m1,58317.30471395874,58317.30471395874,11551.245416585354,69868.5501305441,2315.509879253158,6000.0,6000.0
Q4-2,2025-02-25,m1,57918.28269409761,57918.28269409761,9306.465589057034,67224.74828315464,2050.3689446968324,6000.0,6000.0
Q4-2,2025-02-26,m1,57183.112291708545,57183.112291708545,14315.381292828868,71498.49358453741,3058.674215135801,6000.0,6000.0
Q4-2,2025-02-27,m1,56537.84365045423,56537.84365045423,16627.244960538617,73165.08861099285,3069.953612111142,6000.0,6000.0
Q4-2,2025-02-28,m1,27943.024878345303,27943.024878345303,1812.957087658432,29755.981966003736,901.6818514092361,6000.0,6000.0
Q4-2,2025-03-01,m1,25717.22942837202,25717.22942837202,1440.742619021422,27157.97204739344,589.4379545208894,6000.0,6000.0
Q4-2,2025-03-02,m1,55809.2930789532,55809.2930789532,26146.478372809215,81955.77145176241,5111.511960903058,6000.0,6000.0
Q4-2,2025-03-03,m1,55077.45179729583,55077.45179729583,29991.478216671458,85068.93001396729,6001.551990473099,6000.0,6000.0
Q4-2,2025-03-04,m1,56197.46108982815,56197.46108982815,12520.97675620945,68718.4378460376,2701.2850614615795,6000.0,6000.0
Q4-2,2025-03-05,m1,55824.75982249729,55824.75982249729,9364.72983611126,65189.48965860855,1897.6118485944578,6000.0,6000.0
Q4-2,2025-03-06,m1,54745.00295366971,54745.00295366971,11743.832227909934,66488.83518157965,2574.510901246028,6000.0,6000.0
Q4-2,2025-03-07,m1,25976.649097327947,25976.649097327947,1659.0782678238816,27635.72736515183,736.5982240724761,6000.0,6000.0
Q4-2,2025-03-08,m1,24208.085773685074,24208.085773685074,2571.774218624277,26779.85999230935,977.492477597358,6000.0,6000.0
Q4-2,2025-03-09,m1,55491.841012277524,55491.841012277524,9303.147471930615,64794.98848420814,2060.2122767563615,6000.0,6000.0
Q4-2,2025-03-10,m1,54053.04041195407,54053.04041195407,14601.895352726664,68654.93576468073,3185.111390699083,6000.0,6000.0
Q4-2,2025-03-11,m1,53605.39998458106,53605.39998458106,11542.425984578134,65147.825969159196,2591.2319094035456,6000.0,6000.0
Q4-2,2025-03-12,m1,52873.10159516303,52873.10159516303,12587.564037586682,65460.66563274972,2913.131764901315,6000.0,6000.0
Q4-2,2025-03-13,m1,52404.37374954639,52404.37374954639,18087.370320680526,70491.74407022691,3758.3500107349078,6000.0,6000.0
Q4-2,2025-03-14,m1,24843.1824892159,24843.1824892159,1641.463320574223,26484.64580979012,730.6969445637978,6000.0,6000.0
Q4-2,2025-03-15,m1,22913.375479409122,22913.375479409122,5719.796804962993,28633.172284372115,1780.6896749095486,6000.0,6000.0
Q4-2,2025-03-16,m1,53078.18929202585,53078.18929202585,11481.452012311343,64559.64130433719,2587.479677839987,6000.0,6000.0
Q4-2,2025-03-17,m1,51386.700887582374,51386.700887582374,7916.077208308184,59302.77809589056,1789.8780529837431,6000.0,6000.0
Q4-2,2025-03-18,m1,50603.641531224406,50603.641531224406,14113.57790114491,64717.21943236932,2835.993311774175,6000.0,6000.0
Q4-2,2025-03-19,m1,50306.583474562125,50306.583474562125,11094.72990986433,61401.31338442645,2531.5627749920704,6000.0,6000.0
Q4-2,2025-03-20,m1,50755.96558749814,50755.96558749814,13406.54424477517,64162.50983227331,3078.4465486823383,6000.0,6000.0
